Format,2.0A,
Memory Length,5000,
IntpDistance,616,
Trigger Address,724,
Trigger Level,840mV,
Source,CH1,
Vertical Units,V,
Vertical Units Div,0,
Vertical Units Extend Div,13,
Label, ,
Probe Type,0,
Probe Ratio,1.000E+00,
Vertical Scale,1.000E+00,
Vertical Position,-2.400E-01,
Horizontal Units,S,
Horizontal Scale,2.000E-06,
Horizontal Position,7.100E-06,
Horizontal Mode,Main,
SincET Mode,Real Time,
Sampling Period,4.000E-09,
Horizontal Old Scale,2.000E-06,
Horizontal Old Position,7.100E-06,
Firmware,V1.20,
Time,25-Sep-24 19:15:14,
Mode,Fast,
Waveform Data,
3,
2,
3,
2,
3,
2,
3,
3,
3,
2,
3,
2,
3,
2,
3,
2,
3,
2,
3,
2,
3,
2,
3,
2,
3,
2,
3,
2,
3,
2,
3,
2,
3,
2,
3,
2,
3,
2,
3,
2,
3,
2,
3,
2,
3,
2,
3,
2,
3,
2,
3,
2,
3,
2,
3,
2,
3,
2,
3,
2,
3,
2,
3,
2,
3,
2,
3,
2,
3,
3,
3,
2,
3,
2,
2,
3,
3,
2,
3,
2,
3,
2,
3,
2,
3,
2,
3,
2,
3,
3,
3,
2,
3,
2,
3,
2,
3,
2,
3,
2,
3,
2,
3,
2,
3,
2,
3,
3,
3,
2,
3,
2,
3,
5,
4,
9,
9,
15,
16,
24,
24,
30,
30,
35,
35,
34,
35,
27,
27,
16,
15,
-1,
-3,
-17,
-19,
-32,
-33,
-42,
-41,
-45,
-46,
-44,
-44,
-42,
-41,
-37,
-36,
-31,
-30,
-25,
-24,
-18,
-18,
-8,
-7,
6,
7,
23,
24,
38,
38,
48,
48,
53,
54,
52,
53,
49,
50,
45,
45,
39,
39,
34,
33,
28,
27,
19,
18,
7,
6,
-9,
-10,
-25,
-26,
-38,
-38,
-45,
-45,
-48,
-48,
-46,
-46,
-42,
-42,
-37,
-37,
-31,
-31,
-25,
-25,
-19,
-18,
-9,
-8,
6,
7,
23,
24,
38,
38,
48,
47,
53,
54,
52,
53,
50,
50,
45,
44,
39,
38,
33,
33,
27,
26,
18,
17,
6,
5,
-10,
-12,
-26,
-27,
-39,
-39,
-46,
-46,
-48,
-48,
-46,
-46,
-43,
-42,
-37,
-36,
-30,
-30,
-24,
-24,
-18,
-17,
-7,
-7,
6,
8,
24,
25,
38,
39,
48,
48,
53,
54,
53,
53,
50,
50,
45,
44,
38,
38,
33,
33,
26,
26,
17,
17,
6,
5,
-10,
-11,
-26,
-27,
-39,
-39,
-46,
-46,
-48,
-48,
-46,
-46,
-42,
-42,
-37,
-36,
-30,
-30,
-24,
-24,
-17,
-16,
-7,
-6,
7,
8,
24,
25,
38,
39,
48,
48,
53,
55,
53,
53,
50,
49,
45,
45,
38,
38,
33,
32,
26,
26,
18,
17,
6,
5,
-10,
-11,
-26,
-27,
-39,
-39,
-46,
-46,
-48,
-48,
-47,
-46,
-43,
-42,
-37,
-36,
-30,
-30,
-24,
-24,
-17,
-17,
-7,
-6,
7,
8,
24,
25,
38,
39,
48,
48,
53,
54,
53,
53,
50,
49,
45,
44,
38,
38,
33,
33,
26,
25,
17,
17,
6,
5,
-10,
-11,
-27,
-27,
-39,
-39,
-46,
-46,
-49,
-49,
-47,
-46,
-42,
-42,
-37,
-36,
-31,
-30,
-24,
-24,
-17,
-17,
-8,
-7,
7,
8,
24,
25,
38,
39,
49,
49,
54,
54,
53,
53,
50,
50,
45,
45,
39,
38,
33,
32,
26,
26,
18,
17,
6,
5,
-11,
-11,
-27,
-27,
-38,
-38,
-46,
-46,
-48,
-47,
-48,
-46,
-43,
-42,
-37,
-36,
-31,
-30,
-24,
-24,
-17,
-17,
-7,
-6,
7,
8,
24,
25,
38,
39,
48,
48,
53,
54,
53,
53,
50,
50,
45,
44,
39,
38,
33,
33,
26,
26,
18,
17,
6,
5,
-10,
-11,
-26,
-27,
-39,
-39,
-46,
-46,
-49,
-49,
-47,
-47,
-43,
-42,
-37,
-37,
-31,
-30,
-24,
-24,
-17,
-17,
-7,
-6,
7,
8,
24,
25,
38,
38,
48,
48,
53,
54,
53,
53,
50,
50,
45,
44,
38,
38,
33,
33,
27,
26,
18,
17,
6,
5,
-10,
-11,
-26,
-27,
-38,
-39,
-46,
-46,
-49,
-47,
-48,
-47,
-43,
-42,
-37,
-36,
-30,
-30,
-24,
-24,
-17,
-17,
-7,
-7,
7,
8,
24,
25,
38,
39,
48,
48,
53,
54,
53,
53,
49,
49,
45,
45,
39,
38,
33,
33,
26,
26,
17,
17,
6,
5,
