Format,2.0A,Unnamed: 2
Memory Length,5000,
IntpDistance,3398,
Trigger Address,64,
Trigger Level,48.0mV,
Source,CH1,
Vertical Units,V,
Vertical Units Div,0,
Vertical Units Extend Div,13,
Label, ,
Probe Type,0,
Probe Ratio,1.000E+00,
Vertical Scale,2.000E-01,
Vertical Position,-1.600E-02,
Horizontal Units,S,
Horizontal Scale,5.000E-06,
Horizontal Position,2.435E-05,
Horizontal Mode,Main,
SincET Mode,Real Time,
Sampling Period,1.000E-08,
Horizontal Old Scale,5.000E-06,
Horizontal Old Position,2.435E-05,
Firmware,V1.20,
Time,12-Oct-22 22:03:38,
Mode,Fast,
Waveform Data,,
-1.0,,
-0.0,,
-1.0,,
-0.0,,
-1.0,,
-0.0,,
-1.0,,
-0.0,,
-1.0,,
-0.0,,
-1.0,,
-0.0,,
-1.0,,
-0.0,,
-1.0,,
-0.0,,
-1.0,,
-0.0,,
-1.0,,
-0.0,,
-1.0,,
-0.0,,
-1.0,,
-0.0,,
-1.0,,
-0.0,,
-1.0,,
-0.0,,
-1.0,,
-0.0,,
-1.0,,
-0.0,,
-1.0,,
-0.0,,
-1.0,,
-0.0,,
-1.0,,
-0.0,,
-1.0,,
-0.0,,
-1.0,,
-0.0,,
-1.0,,
-0.0,,
-1.0,,
-0.0,,
-1.0,,
-0.0,,
-1.0,,
-0.0,,
-1.0,,
-0.0,,
-1.0,,
-0.0,,
-1.0,,
-0.0,,
-1.0,,
-0.0,,
-1.0,,
-0.0,,
-0.0,,
-0.0,,
-0.0,,
-2.0,,
-2.0,,
-11.0,,
-11.0,,
-14.0,,
-13.0,,
2.0,,
3.0,,
14.0,,
14.0,,
9.0,,
9.0,,
6.0,,
7.0,,
8.0,,
7.0,,
-4.0,,
-4.0,,
-15.0,,
-15.0,,
-10.0,,
-10.0,,
-7.0,,
-8.0,,
-7.0,,
-8.0,,
3.0,,
4.0,,
14.0,,
14.0,,
9.0,,
10.0,,
6.0,,
6.0,,
7.0,,
6.0,,
-4.0,,
-4.0,,
-14.0,,
-15.0,,
-10.0,,
-10.0,,
-7.0,,
-8.0,,
-8.0,,
-7.0,,
3.0,,
3.0,,
14.0,,
14.0,,
9.0,,
9.0,,
6.0,,
6.0,,
8.0,,
7.0,,
-4.0,,
-4.0,,
-15.0,,
-15.0,,
-11.0,,
-10.0,,
-7.0,,
-8.0,,
-7.0,,
-7.0,,
3.0,,
3.0,,
14.0,,
14.0,,
9.0,,
9.0,,
6.0,,
6.0,,
7.0,,
7.0,,
-4.0,,
-4.0,,
-15.0,,
