Model,MSO2014
Firmware Version,1.06
Point Format,Y
Horizontal Units,S
Horizontal Scale,"0,00001"
Sample Interval,"0,000000001"
Filter Frequency,100000000.0
Record Length,100000.0
Gating,0.0% to 100.0%
Probe Attenuation,1.0
Vertical Units,V
Vertical Offset,-0.0
Vertical Scale,1.0
Label,
TIME,CH1
-2.00400e-05,-0.0
-2.00390e-05,-0.0
-2.00380e-05,-0.0
-2.00370e-05,-0.0
-2.00360e-05,-0.0
-2.00350e-05,0.04
-2.00340e-05,0.04
-2.00330e-05,0.04
-2.00320e-05,-0.0
-2.00310e-05,-0.0
-2.00300e-05,-0.0
-2.00290e-05,-0.0
-2.00280e-05,0.04
-2.00270e-05,-0.0
-2.00260e-05,0.04
-2.00250e-05,0.04
-2.00240e-05,0.04
-2.00230e-05,0.04
-2.00220e-05,0.04
-2.00210e-05,0.04
-2.00200e-05,-0.0
-2.00190e-05,0.04
-2.00180e-05,-0.0
-2.00170e-05,-0.0
-2.00160e-05,-0.0
-2.00150e-05,-0.0
-2.00140e-05,-0.0
-2.00130e-05,-0.0
-2.00120e-05,-0.0
-2.00110e-05,-0.0
-2.00100e-05,0.04
-2.00090e-05,-0.0
-2.00080e-05,0.04
-2.00070e-05,-0.0
-2.00060e-05,0.04
-2.00050e-05,-0.0
-2.00040e-05,-0.0
-2.00030e-05,-0.0
-2.00020e-05,0.04
-2.00010e-05,-0.0
-2.00000e-05,0.04
-1.99990e-05,-0.0
-1.99980e-05,0.04
-1.99970e-05,-0.0
-1.99960e-05,0.04
-1.99950e-05,-0.0
-1.99940e-05,0.04
-1.99930e-05,-0.0
-1.99920e-05,-0.0
-1.99910e-05,-0.0
-1.99900e-05,-0.0
-1.99890e-05,-0.0
-1.99880e-05,-0.0
-1.99870e-05,-0.0
-1.99860e-05,-0.0
-1.99850e-05,-0.0
-1.99840e-05,-0.0
-1.99830e-05,-0.0
-1.99820e-05,-0.0
-1.99810e-05,-0.0
-1.99800e-05,-0.0
-1.99790e-05,-0.0
-1.99780e-05,0.04
-1.99770e-05,0.04
-1.99760e-05,0.04
-1.99750e-05,0.04
-1.99740e-05,0.04
-1.99730e-05,-0.0
-1.99720e-05,0.04
-1.99710e-05,-0.0
-1.99700e-05,0.04
-1.99690e-05,-0.0
-1.99680e-05,-0.0
-1.99670e-05,-0.0
-1.99660e-05,-0.0
-1.99650e-05,-0.0
-1.99640e-05,-0.0
-1.99630e-05,-0.0
-1.99620e-05,-0.0
-1.99610e-05,-0.0
-1.99600e-05,-0.0
-1.99590e-05,-0.0
-1.99580e-05,-0.0
-1.99570e-05,-0.0
-1.99560e-05,-0.0
-1.99550e-05,-0.0
-1.99540e-05,-0.0
-1.99530e-05,-0.0
-1.99520e-05,-0.0
-1.99510e-05,-0.0
-1.99500e-05,0.04
-1.99490e-05,0.04
-1.99480e-05,0.04
-1.99470e-05,-0.0
-1.99460e-05,-0.0
-1.99450e-05,-0.0
-1.99440e-05,-0.0
-1.99430e-05,-0.0
-1.99420e-05,-0.0
-1.99410e-05,-0.0
-1.99400e-05,-0.0
-1.99390e-05,-0.0
-1.99380e-05,-0.0
-1.99370e-05,-0.0
-1.99360e-05,0.04
-1.99350e-05,0.04
-1.99340e-05,0.04
-1.99330e-05,0.04
-1.99320e-05,-0.0
-1.99310e-05,-0.0
-1.99300e-05,-0.0
-1.99290e-05,-0.0
-1.99280e-05,-0.0
-1.99270e-05,-0.0
-1.99260e-05,0.04
-1.99250e-05,0.04
-1.99240e-05,-0.0
-1.99230e-05,-0.0
-1.99220e-05,-0.0
-1.99210e-05,-0.0
-1.99200e-05,0.04
-1.99190e-05,-0.0
-1.99180e-05,0.04
-1.99170e-05,-0.0
-1.99160e-05,-0.0
-1.99150e-05,-0.0
-1.99140e-05,0.04
-1.99130e-05,-0.0
-1.99120e-05,-0.0
-1.99110e-05,-0.0
-1.99100e-05,-0.0
-1.99090e-05,-0.0
-1.99080e-05,-0.0
-1.99070e-05,-0.0
-1.99060e-05,-0.0
-1.99050e-05,-0.0
-1.99040e-05,-0.0
-1.99030e-05,-0.0
-1.99020e-05,-0.0
-1.99010e-05,-0.0
-1.99000e-05,-0.0
-1.98990e-05,-0.0
-1.98980e-05,-0.0
-1.98970e-05,-0.0
-1.98960e-05,-0.0
-1.98950e-05,-0.0
-1.98940e-05,-0.0
-1.98930e-05,-0.0
-1.98920e-05,-0.0
-1.98910e-05,-0.0
-1.98900e-05,-0.0
-1.98890e-05,-0.0
-1.98880e-05,-0.0
-1.98870e-05,-0.0
-1.98860e-05,-0.0
-1.98850e-05,-0.0
-1.98840e-05,-0.0
-1.98830e-05,-0.0
-1.98820e-05,-0.0
-1.98810e-05,-0.0
-1.98800e-05,0.04
-1.98790e-05,-0.0
-1.98780e-05,-0.0
-1.98770e-05,0.04
-1.98760e-05,0.04
-1.98750e-05,-0.0
-1.98740e-05,0.04
-1.98730e-05,-0.0
-1.98720e-05,0.04
-1.98710e-05,-0.0
-1.98700e-05,0.04
-1.98690e-05,-0.0
-1.98680e-05,-0.0
-1.98670e-05,-0.0
-1.98660e-05,-0.0
-1.98650e-05,-0.0
-1.98640e-05,-0.0
-1.98630e-05,-0.0
-1.98620e-05,-0.0
-1.98610e-05,-0.0
-1.98600e-05,-0.0
-1.98590e-05,-0.0
-1.98580e-05,-0.0
-1.98570e-05,-0.0
-1.98560e-05,-0.0
-1.98550e-05,0.04
-1.98540e-05,-0.0
-1.98530e-05,-0.0
-1.98520e-05,-0.0
-1.98510e-05,-0.0
-1.98500e-05,0.04
-1.98490e-05,-0.0
-1.98480e-05,-0.0
-1.98470e-05,-0.0
-1.98460e-05,-0.0
-1.98450e-05,-0.0
-1.98440e-05,-0.0
-1.98430e-05,-0.0
-1.98420e-05,-0.0
-1.98410e-05,-0.0
-1.98400e-05,-0.0
-1.98390e-05,-0.0
-1.98380e-05,-0.0
-1.98370e-05,-0.0
