Record Length,2.500000e+03,,-4e-07,0.002,
Sample Interval,1.000000e-08,,-3.9e-07,-0.002,
Trigger Point,4.000000000000e+01,,-3.8e-07,-0.0,
,,,-3.7e-07,-0.0,
,,,-3.6e-07,0.002,
,,,-3.5e-07,-0.0,
Source,CH1,,-3.4e-07,-0.0,
Vertical Units,V,,-3.3e-07,-0.0,
Vertical Scale,5.000000e-02,,-3.2e-07,-0.0,
Vertical Offset,0.000000e+00,,-3.1e-07,-0.0,
Horizontal Units,s,,-3e-07,-0.002,
Horizontal Scale,2.500000e-06,,-2.9e-07,-0.0,
Pt Fmt,Y,,-2.8e-07,-0.002,
Yzero,0.000000e+00,,-2.7e-07,-0.0,
Probe Atten,1.000000e+00,,-2.6e-07,0.002,
Model Number,TDS2012B,,-2.5e-07,0.002,
Serial Number,C053395,,-2.4e-07,0.002,
Firmware Version,FV:v22.01,,-2.3e-07,0.002,
,,,-2.2e-07,-0.002,
,,,-2.1e-07,0.002,
,,,-2e-07,-0.004,
,,,-1.9e-07,-0.002,
,,,-1.8e-07,0.002,
,,,-1.7e-07,-0.0,
,,,-1.6e-07,-0.0,
,,,-1.5e-07,0.002,
,,,-1.4e-07,-0.002,
,,,-1.3e-07,-0.0,
,,,-1.2e-07,0.002,
,,,-1.1e-07,0.002,
,,,-1e-07,0.002,
,,,-9e-08,-0.0,
,,,-8e-08,0.002,
,,,-7e-08,-0.0,
,,,-6e-08,-0.0,
,,,-5e-08,-0.0,
,,,-4e-08,0.002,
,,,-3e-08,-0.0,
,,,-2e-08,0.002,
,,,-1e-08,0.002,
,,,-0.0,-0.0,
,,,1e-08,-0.002,
,,,2e-08,-0.0,
,,,3e-08,0.002,
,,,4e-08,-0.01,
,,,5e-08,-0.066,
,,,6e-08,-0.114,
,,,7e-08,-0.084,
,,,8e-08,-0.032,
,,,9e-08,0.02,
,,,1e-07,0.06,
,,,1.1e-07,0.092,
,,,1.2e-07,0.1,
,,,1.3e-07,0.088,
,,,1.4e-07,0.064,
,,,1.5e-07,0.058,
,,,1.6e-07,0.068,
,,,1.7e-07,0.058,
,,,1.8e-07,0.02,
,,,1.9e-07,-0.016,
,,,2e-07,-0.056,
,,,2.1e-07,-0.092,
,,,2.2e-07,-0.1,
,,,2.3e-07,-0.086,
,,,2.4e-07,-0.062,
,,,2.5e-07,-0.06,
,,,2.6e-07,-0.07,
,,,2.7e-07,-0.058,
,,,2.8e-07,-0.022,
,,,2.9e-07,0.018,
,,,3e-07,0.056,
,,,3.1e-07,0.094,
,,,3.2e-07,0.104,
,,,3.3e-07,0.084,
,,,3.4e-07,0.064,
,,,3.5e-07,0.062,
,,,3.6e-07,0.068,
,,,3.7e-07,0.056,
,,,3.8e-07,0.02,
,,,3.9e-07,-0.016,
,,,4e-07,-0.052,
,,,4.1e-07,-0.09,
,,,4.2e-07,-0.098,
,,,4.3e-07,-0.078,
,,,4.4e-07,-0.06,
,,,4.5e-07,-0.058,
,,,4.6e-07,-0.068,
,,,4.7e-07,-0.056,
,,,4.8e-07,-0.02,
,,,4.9e-07,0.016,
,,,5e-07,0.052,
,,,5.1e-07,0.09,
,,,5.2e-07,0.098,
,,,5.3e-07,0.08,
,,,5.4e-07,0.062,
,,,5.5e-07,0.056,
,,,5.6e-07,0.068,
,,,5.7e-07,0.06,
,,,5.8e-07,0.02,
,,,5.9e-07,-0.016,
,,,6e-07,-0.054,
